episode,shaped_reward,success,steps
246,-10.31000000,0,32
247,-10.05000000,0,6
248,-10.17000000,0,18
249,-10.18000000,0,19
250,-10.18000000,0,19
251,-10.39000000,0,40
252,-10.06000000,0,7
253,-10.08000000,0,9
254,-10.42000000,0,43
255,-10.05000000,0,6
256,-10.38000000,0,39
257,-10.13000000,0,14
258,-10.31000000,0,32
259,-10.22000000,0,23
260,-10.50000000,0,51
261,-10.16000000,0,17
262,-10.31000000,0,32
263,-10.33000000,0,34
264,-10.83000000,0,84
265,-10.03000000,0,4
266,-10.17000000,0,18
267,-10.28000000,0,29
268,-10.12000000,0,13
269,-10.21000000,0,22
270,-10.49000000,0,50
271,-10.08000000,0,9
272,-10.04000000,0,5
273,-10.19000000,0,20
274,-10.13000000,0,14
275,-10.06000000,0,7
276,-10.24000000,0,25
277,-10.20000000,0,21
278,-10.19000000,0,20
279,-10.26000000,0,27
280,-10.54000000,0,55
281,-10.04000000,0,5
282,-10.12000000,0,13
283,-10.25000000,0,26
284,-10.21000000,0,22
285,-10.14000000,0,15
286,-10.15000000,0,16
287,-10.13000000,0,14
288,-10.05000000,0,6
289,-10.03000000,0,4
290,-10.54000000,0,55
291,-10.23000000,0,24
292,-10.19000000,0,20
293,-10.10000000,0,11
294,-10.29000000,0,30
295,-10.15000000,0,16
296,-10.07000000,0,8
297,-10.43000000,0,44
298,-10.56000000,0,57
299,-10.26000000,0,27
300,-10.71000000,0,72
301,-10.69000000,0,70
302,-10.39000000,0,40
303,-10.17000000,0,18
304,-10.49000000,0,50
305,-10.08000000,0,9
306,-11.16000000,0,117
307,-10.33000000,0,34
308,-10.24000000,0,25
309,-10.59000000,0,60
310,-10.26000000,0,27
311,-10.08000000,0,9
312,-10.53000000,0,54
313,-10.22000000,0,23
314,-10.11000000,0,12
315,-10.62000000,0,63
316,-10.10000000,0,11
317,-10.47000000,0,48
318,-10.47000000,0,48
319,-10.11000000,0,12
320,-10.43000000,0,44
321,-10.34000000,0,35
322,-10.84000000,0,85
323,-10.12000000,0,13
324,-10.26000000,0,27
325,-10.98000000,0,99
326,-10.25000000,0,26
327,-10.18000000,0,19
328,-10.11000000,0,12
329,-10.10000000,0,11
330,-10.05000000,0,6
331,-11.00000000,0,101
332,-10.28000000,0,29
333,-10.11000000,0,12
334,-10.60000000,0,61
335,-10.30000000,0,31
336,-10.41000000,0,42
337,-10.26000000,0,27
338,-10.77000000,0,78
339,-10.11000000,0,12
340,-10.32000000,0,33
341,-10.60000000,0,61
342,-10.19000000,0,20
343,-10.27000000,0,28
344,-10.06000000,0,7
345,-10.61000000,0,62
346,-10.33000000,0,34
347,-10.13000000,0,14
348,-10.10000000,0,11
349,-10.12000000,0,13
350,-10.66000000,0,67
351,-10.18000000,0,19
352,-10.44000000,0,45
353,-10.35000000,0,36
354,-10.27000000,0,28
355,-10.09000000,0,10
356,-10.08000000,0,9
357,-10.25000000,0,26
358,-10.11000000,0,12
359,-10.19000000,0,20
360,-10.63000000,0,64
361,-10.13000000,0,14
362,-10.05000000,0,6
363,-10.42000000,0,43
364,-10.17000000,0,18
365,-10.51000000,0,52
366,-10.53000000,0,54
367,-10.09000000,0,10
368,-10.30000000,0,31
369,-10.23000000,0,24
370,-10.23000000,0,24
371,-10.14000000,0,15
372,-10.30000000,0,31
373,-10.20000000,0,21
374,-10.36000000,0,37
375,-10.84000000,0,85
376,-10.05000000,0,6
377,-10.42000000,0,43
378,-10.45000000,0,46
379,-10.72000000,0,73
380,-10.10000000,0,11
381,-10.19000000,0,20
382,-10.69000000,0,70
383,-10.31000000,0,32
384,-10.48000000,0,49
385,-10.68000000,0,69
386,-10.06000000,0,7
387,-10.35000000,0,36
388,-10.19000000,0,20
389,-10.45000000,0,46
390,-10.07000000,0,8
391,-10.06000000,0,7
392,-10.72000000,0,73
393,-10.14000000,0,15
394,-10.07000000,0,8
395,-10.27000000,0,28
396,-10.19000000,0,20
397,-10.32000000,0,33
398,-10.07000000,0,8
399,-10.14000000,0,15
400,-10.50000000,0,51
401,-10.83000000,0,84
402,-10.74000000,0,75
403,-10.15000000,0,16
404,-10.40000000,0,41
405,-10.37000000,0,38
406,-10.09000000,0,10
407,-11.39000000,0,140
408,-10.10000000,0,11
409,-10.08000000,0,9
410,-10.95000000,0,96
411,-10.14000000,0,15
412,-10.24000000,0,25
413,-10.18000000,0,19
414,-10.25000000,0,26
415,-10.49000000,0,50
416,-10.37000000,0,38
